ECCOLA_Code,User_Story,Acceptance_Criteria,Related_Questions
# 12 System Security,"As a passenger, I want the process to be as simple as possible, so that I can smoothly board the ship without having to worry about following complicated instructions in a potentially high-pressure situation.","The boarding process is as similar to what it used to be as possible, or even simpler. Any and all instructions are crystal clear so that the passengers are able to proceed without asking for assistance as often as possible.",Did you assess potential forms of attacks to which the system could be vulnerable? Did you consider ones that are unique or more relevant to AI systems?
# 12 System Security,"As a border control personnel, I want to be prepared for delayes with the ship turnaround so that I know what to do with passengers behaviour in those situations.",Action plan for personnels in terms of delays are embedded into the logistics plan and it will have a section on human behaviour with smart system delays and actions preventing misbehaviour on passsengers.,Have you verified how your system behaves in unexpected situations and environments? 
# 12 System Security,"As a border control personnel, I want to be prepared for delayes with the ship turnaround so that I know what to do with passengers behaviour in those situations.",Action plan for personnels in terms of delays are embedded into the logistics plan and it will have a section on human behaviour with smart system delays and actions preventing misbehaviour on passsengers.,"Did you consider different types of vulnerabilities, such as data pollution and physical infrastructure? "
# 12 System Security,"As a passenger with my family in our vehicle, I would like to know the capacity of the system before hand so I can avoid a situation where it is overbooked so that I do not turn up and not be able to use the service","The system can display capacity information for passengers that access the service remotely and at the port, display terminals can also provide these types of information for passengers.",Have you verified how your system behaves in unexpected situations and environments? 
# 13 System Safety,"As an EV driver, I want to know, If I need to take any extra procedures on my car before entering to the terminal area or to the ship.",Boarding pass on cars are shared with instructions for different vehicles.,What fallback plans does your system have? Have they been tested?
# 13 System Safety,"As a passenger driving his car at the habor with my family, I would like an alternative system in place if traffic lights fail so I am not stuck in a traffic jam with my family as this can cause stress.",The system can provide a standby system in place should the traffic lights fail or a human traffic warden that will help direct traffic for ship loading and unloading.,How do you measure and assess risks and safety? 
# 13 System Safety,"As the traffic operator in charge of operating traffic lights for ship loading and unloading, I would like an alternative system if traffic lights fail so that I can continue with ship loading and unloading.",The system can provide a standby system in place should the traffic lights fail or a human traffic warden that will help direct traffic for ship loading and unloading.,What fallback plans does your system have? Have they been tested?
# 13 System Safety,As a passenger coming off the ship I would like to be quickly checked by the police so that I can disemabark the ship on time,Digital scanners that synchronize passenger information with regulations such as alcohol limits that can be brought in and to ensure that drunk or underage passengers are not driving.,"Is there a plan to mitigate or manage technological errors, accidents, or malicious misuse? What if the systems provides wrong results, becomes unavailable, or provides societally unacceptable results?"
# 13 System Safety,"As a police officer checking passengers at the check point, I would like a system that helps me quickly and efficiently to scan passengers .",Digital scanners that synchronize passenger information with regulations such as alcohol limits that can be brought in and to ensure that drunk or underage passengers are not driving.,"Is there a plan to mitigate or manage technological errors, accidents, or malicious misuse? What if the systems provides wrong results, becomes unavailable, or provides societally unacceptable results?"
# 14 Accessibility,"As a tug driver, I want to get alerts of probable rain showers to my work tools like phone app etc., so that the goods that I handle that cannot be attached to water don't get ruined by my activity.",Field workers are equipped with SMart phones with apps and data according to their work.,"Does the system consider a wide range of individual preferences and abilities? If not, why? "
# 14 Accessibility,"As a crew member with a disability, I would like to know that there is provision for me to access my work functions to enable me perform my duties",Accessibility criteria for disabled and other ethnicities are taken into account when designing information systems to enable ease of access for diasabled as well as different ethnicities access information pertinent to their work functions. Possibilities for instructions to be written in Braille or translations in other languages or a translator.,"Is the system usable by those with special needs or disabilities, those at risk of exclusion, or those using assistive technologies? "
# 16 Environmental Impact,"As an island owner in Turku Achipelago, I want to be able to swin in my clean shore and be carefree about that subject so that I don't have to worry about catching a decise of contained / impure sea water, when I swin in my shore.",Regulations and procedures towards waste dumbing is done before SMART terminal can start their operation.,Did you ensure measures to reduce the environmental impact of your systemï¿½s life cycle?
# 16 Environmental Impact,As a traffic person I would think it would be environmentally safer and more efficient if trucks emit greener energy or are electrical so that the envionment is safer from green house emission,Provision in regulations towards making SMART terminal more energy friendly such as setting goals towards more energy friendly trucks,Did you ensure measures to reduce the environmental impact of your systemï¿½s life cycle?
# 18 Auditability,"As the person in charge of registering all the vehicles that use the port, I need to be able to accurately record how many vehicles register online or in person and to reconcile that with the number that make the trip.",APIs and Interoperable systems that can provide accurate data records from different teriminals and can synchronize efficiently with the ports system,What mechanisms facilitate the system's auditability? How is traceability and logging of the system's processes and outcomes ensured?
# 18 Auditability,"As a passenger driving into the port, I need to know that the information that I get from remote terminals is clear and thesame as the one provided at the port gate so that I avoid any ambiguity or wrong information",-,What mechanisms facilitate the system's auditability? How is traceability and logging of the system's processes and outcomes ensured?
